rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.24,0.25,94.74
2,3,Bayern Munich,German Bundesliga,3.46,0.41,93.98
3,2,Liverpool,Barclays Premier League,2.9,0.29,92.43
4,4,Paris Saint-Germain,French Ligue 1,2.9,0.5,89.22
5,6,Barcelona,Spanish Primera Division,2.83,0.47,89.17
6,5,Real Madrid,Spanish Primera Division,2.87,0.49,89.14
7,9,Atletico Madrid,Spanish Primera Division,2.25,0.31,86.9
8,7,Chelsea,Barclays Premier League,2.62,0.51,86.72
9,8,Juventus,Italy Serie A,2.51,0.49,85.99
10,10,RB Leipzig,German Bundesliga,2.55,0.59,84.48
11,13,Leicester City,Barclays Premier League,2.23,0.45,83.73
12,12,Ajax,Dutch Eredivisie,3.02,0.9,83.71
13,14,Tottenham Hotspur,Barclays Premier League,2.5,0.64,82.95
14,11,FC Salzburg,Austrian T-Mobile Bundesliga,3.04,1.0,82.39
15,16,Manchester United,Barclays Premier League,2.16,0.53,80.96
16,18,Sevilla FC,Spanish Primera Division,2.15,0.55,80.5
17,15,Borussia Dortmund,German Bundesliga,2.45,0.73,80.41
18,20,Internazionale,Italy Serie A,2.38,0.7,80.31
19,17,Bayer Leverkusen,German Bundesliga,2.29,0.64,80.31
20,19,Napoli,Italy Serie A,2.25,0.62,80.09
21,21,Everton,Barclays Premier League,1.98,0.57,77.3
22,22,Zenit St Petersburg,Russian Premier Liga,2.07,0.65,77.0
23,24,FC Porto,Portuguese Liga,1.98,0.59,76.98
24,25,Real Sociedad,Spanish Primera Division,2.03,0.66,76.14
25,27,Getafe,Spanish Primera Division,1.76,0.48,76.11
26,23,Arsenal,Barclays Premier League,2.29,0.86,75.66
27,26,Benfica,Portuguese Liga,2.18,0.79,75.53
28,31,AS Roma,Italy Serie A,2.08,0.73,75.27
29,34,Wolverhampton,Barclays Premier League,1.86,0.6,74.8
30,30,Athletic Bilbao,Spanish Primera Division,1.78,0.55,74.68
31,35,Atalanta,Italy Serie A,2.26,0.89,74.54
32,29,Borussia Monchengladbach,German Bundesliga,2.17,0.86,73.77
33,28,Eintracht Frankfurt,German Bundesliga,2.11,0.82,73.74
34,36,Lazio,Italy Serie A,2.13,0.86,73.14
35,37,Valencia,Spanish Primera Division,2.13,0.89,72.35
36,43,VfL Wolfsburg,German Bundesliga,1.85,0.69,72.24
37,33,Villarreal,Spanish Primera Division,2.12,0.9,72.04
38,40,Club Brugge,Belgian Jupiler League,2.03,0.84,71.92
39,32,TSG Hoffenheim,German Bundesliga,2.22,0.98,71.82
40,41,Flamengo,Brasileiro Série A,1.98,0.81,71.67
41,50,Burnley,Barclays Premier League,1.94,0.8,71.33
42,49,Shakhtar Donetsk,UEFA Champions League,2.18,0.98,71.31
43,44,AC Milan,Italy Serie A,1.85,0.74,71.3
44,42,Schalke 04,German Bundesliga,1.95,0.82,71.1
45,53,AZ,Dutch Eredivisie,2.18,0.99,71.05
46,39,Olympiacos,Greek Super League,2.0,0.86,70.99
47,38,Lyon,French Ligue 1,1.92,0.8,70.92
48,45,Espanyol,Spanish Primera Division,1.85,0.76,70.58
49,46,Osasuna,Spanish Primera Division,1.81,0.74,70.46
50,51,Crystal Palace,Barclays Premier League,1.85,0.78,70.21
51,57,Celtic,Scottish Premiership,1.98,0.9,69.62
52,47,Eibar,Spanish Primera Division,1.79,0.76,69.51
53,48,AFC Bournemouth,Barclays Premier League,1.96,0.91,69.08
54,54,Lille,French Ligue 1,1.77,0.76,69.07
55,56,Sheffield United,Barclays Premier League,1.76,0.76,68.92
56,58,FC Krasnodar,Russian Premier Liga,1.9,0.88,68.83
57,66,Celta Vigo,Spanish Primera Division,1.78,0.78,68.77
58,60,Real Betis,Spanish Primera Division,1.89,0.87,68.75
59,52,Granada,Spanish Primera Division,1.71,0.73,68.72
60,62,Werder Bremen,German Bundesliga,2.03,1.01,68.14
61,71,Leeds United,English League Championship,1.73,0.79,67.77
62,61,Fiorentina,Italy Serie A,1.87,0.91,67.45
63,70,LASK Linz,Austrian T-Mobile Bundesliga,1.81,0.86,67.44
64,65,Young Boys,Swiss Raiffeisen Super League,2.38,1.33,67.12
65,77,Aston Villa,Barclays Premier League,1.88,0.93,67.06
66,64,Palmeiras,Brasileiro Série A,1.68,0.78,67.01
67,76,Alavés,Spanish Primera Division,1.75,0.84,66.86
68,59,Brighton and Hove Albion,Barclays Premier League,1.82,0.9,66.85
69,67,Rangers,Scottish Premiership,2.0,1.04,66.82
70,55,Basel,Swiss Raiffeisen Super League,2.09,1.11,66.77
71,69,PAOK Salonika,Greek Super League,1.93,1.0,66.51
72,63,Watford,Barclays Premier League,1.82,0.91,66.44
73,68,Dinamo Zagreb,UEFA Champions League,2.07,1.12,66.23
74,82,Marseille,French Ligue 1,1.69,0.82,66.1
75,80,Montpellier,French Ligue 1,1.54,0.7,66.09
76,73,River Plate,Argentina Primera Division,1.79,0.91,65.89
77,74,Leganes,Spanish Primera Division,1.58,0.75,65.58
78,75,West Ham United,Barclays Premier League,1.92,1.03,65.51
79,79,Dynamo Kiev,UEFA Europa League,1.82,0.95,65.41
80,87,Southampton,Barclays Premier League,1.88,1.01,65.31
81,101,Strasbourg,French Ligue 1,1.63,0.81,65.13
82,83,AS Monaco,French Ligue 1,1.86,1.0,64.98
83,72,Hertha Berlin,German Bundesliga,1.87,1.02,64.81
84,81,PSV,Dutch Eredivisie,2.09,1.21,64.74
85,90,Grêmio,Brasileiro Série A,1.66,0.87,64.31
86,88,Angers,French Ligue 1,1.56,0.79,64.21
87,86,CSKA Moscow,Russian Premier Liga,1.67,0.89,64.13
88,78,Newcastle,Barclays Premier League,1.69,0.9,64.07
89,85,Levante,Spanish Primera Division,1.95,1.13,63.74
90,92,Sporting CP,Portuguese Liga,1.68,0.92,63.47
91,89,SC Freiburg,German Bundesliga,1.79,1.01,63.46
92,91,Real Valladolid,Spanish Primera Division,1.62,0.87,63.29
93,93,Lokomotiv Moscow,Russian Premier Liga,1.72,0.97,62.99
94,84,Fortuna Düsseldorf,German Bundesliga,1.86,1.1,62.75
95,99,FC Midtjylland,Danish SAS-Ligaen,1.73,0.99,62.69
96,112,Mainz,German Bundesliga,2.0,1.22,62.54
97,106,Santos,Brasileiro Série A,1.55,0.85,62.53
98,109,FC Augsburg,German Bundesliga,1.86,1.11,62.47
99,97,Mallorca,Spanish Primera Division,1.69,0.97,62.45
100,102,Nantes,French Ligue 1,1.47,0.78,62.37
101,95,Bologna,Italy Serie A,1.74,1.02,62.17
102,108,1. FC Union Berlin,German Bundesliga,1.67,0.97,62.16
103,100,Slavia Prague,UEFA Champions League,1.87,1.14,62.07
104,103,Ludogorets,UEFA Europa League,1.73,1.02,61.97
105,104,Fulham,English League Championship,1.71,1.01,61.81
106,110,Sampdoria,Italy Serie A,1.58,0.9,61.77
107,98,Torino,Italy Serie A,1.66,0.98,61.39
108,105,FC Cologne,German Bundesliga,1.7,1.02,61.35
109,114,Atlético Paranaense,Brasileiro Série A,1.48,0.84,61.33
110,94,Galatasaray,Turkish Turkcell Super Lig,1.67,1.0,61.22
111,116,Boca Juniors,Argentina Primera Division,1.5,0.86,61.18
112,119,Guangzhou Evergrande,Chinese Super League,1.85,1.16,61.13
113,107,Sassuolo,Italy Serie A,1.73,1.07,60.84
114,111,Braga,Portuguese Liga,1.65,1.0,60.76
115,113,Malmo FF,Swedish Allsvenskan,1.51,0.88,60.68
116,117,Reims,French Ligue 1,1.37,0.76,60.59
117,96,Cagliari,Italy Serie A,1.71,1.07,60.4
118,115,Brentford,English League Championship,1.48,0.89,59.71
119,124,Parma,Italy Serie A,1.65,1.05,59.52
120,121,Club América,Mexican Primera Division Torneo Apertura,1.62,1.03,59.49
121,118,Stade Rennes,French Ligue 1,1.56,0.98,59.4
122,134,Norwich City,Barclays Premier League,1.73,1.13,59.35
123,120,FC Copenhagen,Danish SAS-Ligaen,1.8,1.2,59.2
124,132,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.53,0.98,58.72
125,128,West Bromwich Albion,English League Championship,1.67,1.11,58.69
126,143,Trabzonspor,Turkish Turkcell Super Lig,1.76,1.19,58.63
127,123,St Etienne,French Ligue 1,1.47,0.93,58.51
128,126,Bordeaux,French Ligue 1,1.43,0.9,58.45
129,141,Nice,French Ligue 1,1.51,0.97,58.41
130,130,Guimaraes,Portuguese Liga,1.51,0.99,57.95
131,139,Beijing Guoan,Chinese Super League,1.72,1.18,57.9
132,129,São Paulo,Brasileiro Série A,1.31,0.82,57.74
133,131,Los Angeles FC,Major League Soccer,1.98,1.43,57.68
134,122,Shanghai SIPG,Chinese Super League,1.63,1.12,57.54
135,144,Besiktas,Turkish Turkcell Super Lig,1.72,1.21,57.26
136,136,Hammarby,Swedish Allsvenskan,2.13,1.6,57.14
137,137,Apoel Nicosia,UEFA Europa League,1.63,1.14,57.14
138,133,Internacional,Brasileiro Série A,1.45,0.97,57.12
139,135,Genoa,Italy Serie A,1.72,1.22,57.11
140,127,KAA Gent,Belgian Jupiler League,1.74,1.24,57.05
141,146,Verona,Italy Serie A,1.48,1.01,56.93
142,140,Fenerbahce,Turkish Turkcell Super Lig,1.63,1.15,56.93
143,125,Red Star Belgrade,UEFA Champions League,1.93,1.42,56.89
144,142,Nimes,French Ligue 1,1.53,1.07,56.5
145,154,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.72,1.26,56.16
146,145,Tigres UANL,Mexican Primera Division Torneo Apertura,1.37,0.94,56.12
147,148,Spartak Moscow,Russian Premier Liga,1.34,0.9,56.09
148,152,Standard Liege,Belgian Jupiler League,1.65,1.21,55.74
149,151,Santos Laguna,Mexican Primera Division Torneo Apertura,1.66,1.23,55.73
150,149,Monterrey,Mexican Primera Division Torneo Apertura,1.58,1.15,55.62
151,150,Genk,Belgian Jupiler League,1.71,1.29,55.27
152,164,SC Paderborn,German Bundesliga,1.62,1.21,55.16
153,147,Udinese,Italy Serie A,1.49,1.09,55.06
154,163,Molde,Norwegian Tippeligaen,1.87,1.48,54.57
155,155,Cruz Azul,Mexican Primera Division Torneo Apertura,1.46,1.09,54.51
156,172,Lecce,Italy Serie A,1.69,1.3,54.4
157,161,Dijon FCO,French Ligue 1,1.38,1.01,54.32
158,159,Spal,Italy Serie A,1.42,1.07,54.03
159,138,Amiens,French Ligue 1,1.4,1.05,53.92
160,153,Brescia,Italy Serie A,1.52,1.17,53.73
161,162,Brest,French Ligue 1,1.43,1.1,53.45
162,157,Rostov,Russian Premier Liga,1.47,1.14,53.41
163,158,Brondby,Danish SAS-Ligaen,1.81,1.48,53.31
164,182,St Gallen,Swiss Raiffeisen Super League,1.77,1.44,53.3
165,167,Kawasaki Frontale,Japanese J League,1.5,1.18,53.28
166,156,Toulouse,French Ligue 1,1.5,1.18,53.22
167,179,Pachuca,Mexican Primera Division Torneo Apertura,1.63,1.31,53.21
168,166,Rapid Vienna,Austrian T-Mobile Bundesliga,1.62,1.31,52.92
169,169,FK Qarabag,UEFA Europa League,1.48,1.18,52.8
170,165,Atletico Mineiro,Brasileiro Série A,1.35,1.05,52.69
171,168,Metz,French Ligue 1,1.37,1.08,52.38
172,181,Feyenoord,Dutch Eredivisie,1.77,1.48,52.33
173,184,Fluminense,Brasileiro Série A,1.4,1.12,52.28
174,176,Djurgardens IF,Swedish Allsvenskan,1.36,1.08,52.22
175,177,IFK Norrkoping,Swedish Allsvenskan,1.54,1.26,52.21
176,178,Rio Ave,Portuguese Liga,1.47,1.19,52.15
177,183,Ferencvaros,UEFA Europa League,1.51,1.25,51.88
178,208,Hull City,English League Championship,1.51,1.25,51.81
179,180,AEK Athens,Greek Super League,1.46,1.21,51.44
180,171,Racing Club,Argentina Primera Division,1.35,1.11,51.41
181,202,Nottingham Forest,English League Championship,1.3,1.06,51.39
182,173,Cruzeiro,Brasileiro Série A,1.24,0.99,51.37
183,187,Vasco da Gama,Brasileiro Série A,1.36,1.12,51.3
184,190,Ceará,Brasileiro Série A,1.26,1.03,51.18
185,194,Hamburg SV,German 2. Bundesliga,1.49,1.26,51.14
186,174,Cardiff City,English League Championship,1.47,1.23,51.14
187,175,Bahía,Brasileiro Série A,1.3,1.07,51.07
188,189,FK Partizan Belgrade,UEFA Europa League,1.45,1.23,50.88
189,207,Sivasspor,Turkish Turkcell Super Lig,1.63,1.41,50.87
190,191,Jiangsu Suning FC,Chinese Super League,1.51,1.29,50.84
191,195,Corinthians,Brasileiro Série A,1.2,0.97,50.81
192,198,Stoke City,English League Championship,1.33,1.11,50.8
193,160,Preston North End,English League Championship,1.43,1.21,50.77
194,188,FC Arsenal Tula,Russian Premier Liga,1.3,1.08,50.7
195,186,León,Mexican Primera Division Torneo Apertura,1.53,1.32,50.66
196,201,VfB Stuttgart,German 2. Bundesliga,1.57,1.36,50.64
197,170,FC Utrecht,Dutch Eredivisie,1.68,1.47,50.56
198,206,Sheffield Wednesday,English League Championship,1.35,1.15,50.41
199,197,FC Astana,UEFA Europa League,1.52,1.33,50.18
200,185,Vitesse,Dutch Eredivisie,1.74,1.56,50.03
201,192,Anderlecht,Belgian Jupiler League,1.35,1.17,49.96
202,205,Shandong Luneng,Chinese Super League,1.57,1.39,49.9
203,212,Antwerp,Belgian Jupiler League,1.58,1.42,49.66
204,200,Kashima Antlers,Japanese J League,1.33,1.17,49.43
205,199,Velez Sarsfield,Argentina Primera Division,1.17,1.0,49.29
206,196,Swansea City,English League Championship,1.41,1.27,49.03
207,193,Gazovik Orenburg,Russian Premier Liga,1.38,1.24,48.96
208,204,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.52,1.38,48.91
209,216,Dinamo Moscow,Russian Premier Liga,1.1,0.96,48.7
210,209,Huddersfield Town,English League Championship,1.3,1.18,48.56
211,210,AIK,Swedish Allsvenskan,1.29,1.16,48.48
212,203,Bristol City,English League Championship,1.41,1.3,48.28
213,230,Querétaro,Mexican Primera Division Torneo Apertura,1.37,1.26,48.2
214,213,Yokohama F. Marinos,Japanese J League,1.58,1.48,48.19
215,221,Girona FC,Spanish Segunda Division,1.33,1.23,47.98
216,214,Atlanta United FC,Major League Soccer,1.47,1.38,47.92
217,219,Millwall,English League Championship,1.27,1.18,47.74
218,215,Birmingham,English League Championship,1.29,1.21,47.51
219,225,Defensa y Justicia,Argentina Primera Division,1.18,1.09,47.49
220,220,CA Independiente,Argentina Primera Division,1.24,1.17,47.27
221,218,Derby County,English League Championship,1.34,1.28,47.21
222,211,Necaxa,Mexican Primera Division Torneo Apertura,1.41,1.35,47.2
223,233,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.3,1.25,46.81
224,246,Sporting de Charleroi,Belgian Jupiler League,1.37,1.33,46.79
225,226,Fortaleza,Brasileiro Série A,1.32,1.28,46.7
226,217,Pumas Unam,Mexican Primera Division Torneo Apertura,1.29,1.25,46.67
227,227,New York City FC,Major League Soccer,1.49,1.46,46.62
228,229,Boavista,Portuguese Liga,1.09,1.03,46.58
229,223,FC Groningen,Dutch Eredivisie,1.2,1.15,46.58
230,235,Aris Salonika,Greek Super League,1.38,1.35,46.52
231,231,CFR 1907 Cluj,UEFA Europa League,1.42,1.39,46.43
232,222,Blackburn,English League Championship,1.35,1.32,46.29
233,238,AGF Aarhus,Danish SAS-Ligaen,1.39,1.37,46.26
234,234,Slovan Bratislava,UEFA Europa League,1.25,1.23,46.11
235,228,Lanus,Argentina Primera Division,1.28,1.26,45.96
236,236,Santa Clara,Portuguese Liga,1.24,1.23,45.86
237,237,Philadelphia Union,Major League Soccer,1.5,1.51,45.79
238,243,Banfield,Argentina Primera Division,1.14,1.12,45.73
239,224,Queens Park Rangers,English League Championship,1.38,1.39,45.61
240,240,Heerenveen,Dutch Eredivisie,1.53,1.55,45.6
241,241,Toronto FC,Major League Soccer,1.49,1.52,45.31
242,242,PFC Oleksandriya,UEFA Europa League,1.32,1.33,45.31
243,259,Lorient,French Ligue 2,1.32,1.34,45.08
244,264,Terek Grozny,Russian Premier Liga,1.02,1.03,44.88
245,232,Alanyaspor,Turkish Turkcell Super Lig,1.27,1.3,44.88
246,270,FC Nordsjaelland,Danish SAS-Ligaen,1.51,1.56,44.84
247,269,SV Zulte Waregem,Belgian Jupiler League,1.43,1.48,44.82
248,244,FC Ufa,Russian Premier Liga,0.99,0.99,44.76
249,295,Lens,French Ligue 2,1.14,1.17,44.71
250,250,Mouscron-Peruwelz,Belgian Jupiler League,1.29,1.33,44.7
251,245,Odense BK,Danish SAS-Ligaen,1.32,1.36,44.66
252,248,Newell's Old Boys,Argentina Primera Division,1.12,1.14,44.65
253,249,Middlesbrough,English League Championship,1.19,1.24,44.41
254,281,AaB,Danish SAS-Ligaen,1.33,1.39,44.37
255,252,Famalicao,Portuguese Liga,1.35,1.42,44.31
256,251,Guadalajara,Mexican Primera Division Torneo Apertura,1.25,1.31,44.3
257,254,Portimonense,Portuguese Liga,1.22,1.28,44.13
258,253,Cadiz,Spanish Segunda Division,1.15,1.2,44.11
259,239,Morelia,Mexican Primera Division Torneo Apertura,1.37,1.46,43.86
260,260,Heracles,Dutch Eredivisie,1.6,1.72,43.8
261,256,Rosenborg,Norwegian Tippeligaen,1.48,1.59,43.78
262,257,Los Angeles Galaxy,Major League Soccer,1.81,1.94,43.78
263,247,Reading,English League Championship,1.18,1.25,43.76
264,258,Ural Sverdlovsk Oblast,Russian Premier Liga,1.25,1.34,43.66
265,261,Krylia Sovetov,Russian Premier Liga,1.11,1.18,43.56
266,262,Chicago Fire,Major League Soccer,1.45,1.56,43.52
267,299,FC Lugano,Swiss Raiffeisen Super League,1.17,1.25,43.44
268,266,Gil Vicente,Portuguese Liga,1.14,1.23,43.34
269,285,Talleres de Córdoba,Argentina Primera Division,1.12,1.2,43.25
270,268,Seattle Sounders FC,Major League Soccer,1.39,1.51,43.13
271,272,Atromitos,Greek Super League,1.25,1.36,43.08
272,274,Sochi,Russian Premier Liga,1.19,1.29,42.95
273,275,Wigan,English League Championship,1.18,1.29,42.87
274,271,FC Tambov,Russian Premier Liga,1.25,1.37,42.82
275,286,Arsenal Sarandi,Argentina Primera Division,1.27,1.4,42.72
276,273,Argentinos Juniors,Argentina Primera Division,0.97,1.07,42.51
277,279,Atlético Tucumán,Argentina Primera Division,1.08,1.19,42.47
278,255,Rayo Vallecano,Spanish Segunda Division,1.26,1.4,42.42
279,291,Rosario Central,Argentina Primera Division,1.09,1.21,42.34
280,263,Union Santa Fe,Argentina Primera Division,1.1,1.23,42.29
281,301,Goiás,Brasileiro Série A,1.25,1.41,42.2
282,302,Sparta,Dutch Eredivisie,1.38,1.55,42.18
283,267,FC Tokyo,Japanese J League,1.04,1.16,42.12
284,282,New York Red Bulls,Major League Soccer,1.41,1.59,41.98
285,298,Sydney FC,Australian A-League,1.4,1.58,41.9
286,276,Sanfrecce Hiroshima,Japanese J League,1.1,1.25,41.81
287,277,ADO Den Haag,Dutch Eredivisie,1.47,1.68,41.76
288,280,Botafogo,Brasileiro Série A,1.07,1.21,41.76
289,289,Estudiantes,Argentina Primera Division,0.97,1.1,41.71
290,287,Moreirense,Portuguese Liga,1.15,1.31,41.68
291,306,Goztepe,Turkish Turkcell Super Lig,1.08,1.23,41.67
292,288,BK Hacken,Swedish Allsvenskan,1.15,1.31,41.67
293,290,Tondela,Portuguese Liga,1.15,1.32,41.64
294,326,Servette,Swiss Raiffeisen Super League,1.24,1.42,41.42
295,293,Pacos Ferreira,Portuguese Liga,1.11,1.27,41.41
296,296,Portland Timbers,Major League Soccer,1.44,1.66,41.32
297,328,FC Zurich,Swiss Raiffeisen Super League,1.26,1.46,41.18
298,304,Rubin Kazan,Russian Premier Liga,0.86,0.99,41.08
299,300,FC Dallas,Major League Soccer,1.37,1.6,40.98
300,318,Almeria,Spanish Segunda Division,1.08,1.26,40.97
301,297,San Lorenzo,Argentina Primera Division,1.14,1.33,40.86
302,283,Arminia Bielefeld,German 2. Bundesliga,1.24,1.45,40.8
303,311,Tianjin Teda,Chinese Super League,1.25,1.47,40.79
304,284,Cerezo Osaka,Japanese J League,0.92,1.08,40.71
305,305,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.38,1.63,40.56
306,319,Tijuana,Mexican Primera Division Torneo Apertura,1.27,1.5,40.44
307,278,Randers FC,Danish SAS-Ligaen,1.3,1.55,40.33
308,312,Central Córdoba Santiago del Estero,Argentina Primera Division,1.11,1.33,40.26
309,308,Arizona United,United Soccer League,1.43,1.71,40.24
310,324,Chapecoense AF,Brasileiro Série A,1.05,1.25,40.23
311,265,Guingamp,French Ligue 2,1.3,1.56,40.22
312,314,Hartberg,Austrian T-Mobile Bundesliga,1.51,1.8,40.2
313,317,KV Kortrijk,Belgian Jupiler League,1.33,1.59,40.17
314,310,San Jose Earthquakes,Major League Soccer,1.4,1.68,40.13
315,313,Vitoria Setubal,Portuguese Liga,0.93,1.12,39.99
316,309,OFI Crete,Greek Super League,1.2,1.45,39.95
317,340,Bodo/Glimt,Norwegian Tippeligaen,1.46,1.77,39.56
318,323,Desportivo Aves,Portuguese Liga,1.12,1.38,39.45
319,333,Puebla,Mexican Primera Division Torneo Apertura,1.17,1.44,39.42
320,315,Shanghai Greenland,Chinese Super League,1.36,1.66,39.35
321,330,Henan Jianye,Chinese Super League,1.29,1.59,39.24
322,325,Charlton Athletic,English League Championship,1.22,1.51,39.16
323,336,FC Sion,Swiss Raiffeisen Super League,1.37,1.7,39.03
324,294,FC Luzern,Swiss Raiffeisen Super League,1.25,1.55,38.99
325,316,Gimnasia La Plata,Argentina Primera Division,1.03,1.29,38.98
326,303,KV Mechelen,Belgian Jupiler League,1.28,1.59,38.93
327,320,Konyaspor,Turkish Turkcell Super Lig,1.03,1.3,38.77
328,338,Luton Town,English League Championship,1.2,1.51,38.75
329,307,St. Truidense,Belgian Jupiler League,1.18,1.49,38.61
330,346,SD Huesca,Spanish Segunda Division,1.03,1.31,38.56
331,327,Aberdeen,Scottish Premiership,1.18,1.49,38.55
332,332,Minnesota United FC,Major League Soccer,1.25,1.58,38.54
333,321,Kasimpasa,Turkish Turkcell Super Lig,1.37,1.73,38.44
334,329,Wuhan Zall,Chinese Super League,1.21,1.54,38.32
335,335,Huracán,Argentina Primera Division,0.91,1.18,38.07
336,337,Belenenses,Portuguese Liga,1.06,1.37,38.06
337,322,Caykur Rizespor,Turkish Turkcell Super Lig,1.19,1.54,37.84
338,341,Panathinaikos,Greek Super League,1.01,1.33,37.79
339,352,Willem II,Dutch Eredivisie,1.41,1.81,37.78
340,331,FC Twente,Dutch Eredivisie,1.33,1.72,37.65
341,343,Maritimo,Portuguese Liga,1.06,1.39,37.61
342,344,New England Revolution,Major League Soccer,1.36,1.76,37.58
343,349,Hebei China Fortune FC,Chinese Super League,1.3,1.68,37.53
344,345,Toluca,Mexican Primera Division Torneo Apertura,1.09,1.43,37.46
345,339,Hannover 96,German 2. Bundesliga,1.21,1.59,37.45
346,347,Sporting Kansas City,Major League Soccer,1.37,1.78,37.38
347,348,Columbus Crew,Major League Soccer,1.12,1.47,37.36
348,351,Atlas,Mexican Primera Division Torneo Apertura,1.07,1.42,37.32
349,376,Kaizer Chiefs,South African ABSA Premier League,0.99,1.33,37.25
350,342,Perth Glory,Australian A-League,1.22,1.61,37.23
351,363,Gamba Osaka,Japanese J League,1.19,1.58,37.11
352,353,Real Salt Lake,Major League Soccer,1.01,1.36,36.98
353,354,Colorado Rapids,Major League Soccer,1.36,1.79,36.83
354,372,Oxford United,English League One,1.25,1.67,36.7
355,350,CSA,Brasileiro Série A,1.03,1.4,36.63
356,360,Holstein Kiel,German 2. Bundesliga,1.28,1.71,36.56
357,364,Barnsley,English League Championship,1.19,1.6,36.56
